# 电机故障日志；上位机收到电机故障回包后在此追加本机时间戳、总线、ID、错误码和板端 tick。
2026-08-14T09:16:53.167+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224201
2026-08-14T09:16:53.175+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224203
2026-08-14T09:16:53.182+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224205
2026-08-14T09:16:53.190+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224207
2026-08-14T09:16:53.198+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224209
2026-08-14T09:16:53.206+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224211
2026-08-14T09:16:53.214+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224213
2026-08-14T09:16:53.222+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224215
2026-08-14T09:16:53.230+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224217
2026-08-14T09:16:53.237+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224219
2026-08-14T09:16:53.245+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224221
2026-08-14T09:16:53.252+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224223
2026-08-14T09:16:53.260+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224225
2026-08-14T09:16:53.268+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224227
2026-08-14T09:16:53.275+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224229
2026-08-14T09:16:53.283+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224231
2026-08-14T09:16:53.291+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224233
2026-08-14T09:16:53.298+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224235
2026-08-14T09:16:53.306+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224237
2026-08-14T09:16:53.313+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224239
2026-08-14T09:16:53.321+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224241
2026-08-14T09:16:53.328+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224243
2026-08-14T09:16:53.335+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224245
2026-08-14T09:16:53.343+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224247
2026-08-14T09:16:53.351+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224249
2026-08-14T09:16:53.359+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224251
2026-08-14T09:16:53.366+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224253
2026-08-14T09:16:53.374+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224255
2026-08-14T09:16:53.381+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224257
2026-08-14T09:16:53.389+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224259
2026-08-14T09:16:53.396+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224261
2026-08-14T09:16:53.404+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224263
2026-08-14T09:16:53.411+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224265
2026-08-14T09:16:53.419+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224267
2026-08-14T09:16:53.427+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224269
2026-08-14T09:16:53.435+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224271
2026-08-14T09:16:53.442+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224273
2026-08-14T09:16:53.450+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224275
2026-08-14T09:16:53.457+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224277
2026-08-14T09:16:53.465+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224279
2026-08-14T09:16:53.473+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224281
2026-08-14T09:16:53.480+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224283
2026-08-14T09:16:53.488+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224285
2026-08-14T09:16:53.495+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224287
2026-08-14T09:16:53.503+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224289
2026-08-14T09:16:53.510+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224291
2026-08-14T09:16:53.518+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224293
2026-08-14T09:16:53.525+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224295
2026-08-14T09:16:53.534+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224297
2026-08-14T09:16:53.541+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224299
2026-08-14T09:16:53.549+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224301
2026-08-14T09:16:53.557+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224303
2026-08-14T09:16:53.564+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224305
2026-08-14T09:16:53.572+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224307
2026-08-14T09:16:53.579+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224309
2026-08-14T09:16:53.587+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224311
2026-08-14T09:16:53.594+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224313
2026-08-14T09:16:53.602+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224315
2026-08-14T09:16:53.610+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224317
2026-08-14T09:16:53.617+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224319
2026-08-14T09:16:53.625+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224321
2026-08-14T09:17:00.102+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0xF0 (反馈超时/离线) | board_tick_ms=231411
2026-08-14T09:17:00.152+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231415
2026-08-14T09:17:00.159+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231417
2026-08-14T09:17:00.166+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231419
2026-08-14T09:17:00.173+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231421
